name,brand,deal_price,regular_price,product_highlights,avg_overall_rating,amount_of_ratings
"VIZIO V-Series 58"" 4K LED Smart TV - V585-J01",VIZIO,$399.99,$559.99,"['4K Ultra HD - Over 8 million pixels for breathtaking detail. 4 times the resolution of 1080p!', ""Full Array Backlight  LEDs are evenly distributed across the screen's backlight for superior light uniformity and picture performance."", 'SmartCast -  Instant access to the best selection of apps from top-tier streaming services like Netflix, Disney+, YouTube, HBO Max, discovery+ and many more right out of the box.', 'Apple AirPlay 2 and Chromecast Built-In - Stream, control, mirror and share your content from your Apple or Android devices directly to the TV.', ""What's Included - VIZIO Voice Remote with batteries, Power Cable, Quick Start Guide and User Manual."", '3 HDMI 2.1 Ports - Offers the highest video performance for 4K entertainment devices, superior audio quality with eARC for high bit-rate audio pass-through for Dolby Atmos and DTS:X.']",4.5,3567
"VIZIO V-Series 70"" Class 4K HDR Smart TV - V705-J03",VIZIO,$599.99,$639.99,"['4K Ultra HD - Over 8 million pixels for breathtaking detail. 4 times the resolution of 1080p!', ""Full Array Backlight  LEDs are evenly distributed across the screen's backlight for superior light uniformity and picture performance."", 'SmartCast -  Instant access to the best selection of apps from top-tier streaming services like Netflix, Disney+, YouTube, HBO Max, discovery+ and many more right out of the box.', 'Apple AirPlay 2 and Chromecast Built-In - Stream, control, mirror and share your content from your Apple or Android devices directly to the TV.', ""What's Included - VIZIO Voice Remote with batteries, Power Cable, Quick Start Guide and User Manual."", '3 HDMI 2.1 Ports - Offers the highest video performance for 4K entertainment devices, superior audio quality with eARC for high bit-rate audio pass-through for Dolby Atmos and DTS:X.']",4.5,3542
"Samsung 55"" Smart 4K Crystal HDR UHD TV TU7000 Series (Titan Gray)",Samsung,$399.99,$499.99,"['Crystal Processor 4K - This ultra-fast processor transforms everything you watch into stunning 4K.', 'Smart TV Powered by Tizen - Go beyond Smart TV with next-gen apps, super-easy control and a host of enhancements that elevate the TV-watching experience.', ""HDR - unveils shaded of color you can't find on HDTV."", 'Crystal Display - Experience crystal-clear colors that are fine-tuned to deliver a naturally crisp and vivid picture.', 'Universal Guide - One simple on-screen guide organizes your streaming and live TV content, while also making recommendations.', 'Game Enhancer - The TV automatically adjusts settings to help games run smoothly.']",4.5,8184
"Element 32"" 720p HD LED Roku TV",Element,$149.99,$199.99,"['Built-in smart Roku platform with easy-to-use Roku remote for endless streaming', 'Crisp 720P HD Resolution', 'Works with Google Assistant, Amazon Alexa, Apple AirPlay, and Apple HomeKit', 'Free Roku mobile app to easily control your Roku TV with everything you need to manage your streaming', 'Distance Between TV Feet: 27”']",4.3,523
"Element 50"" 4K UHD Roku TV",Element,$279.99,$399.99,"['Built-in smart Roku platform with easy-to-use Roku remote for endless streaming', 'Striking 4K UHD (2160p) Resolution and HDR10 for the best viewing experience', 'Works with Google Assistant, Amazon Alexa, Apple AirPlay, and Apple HomeKit', 'Free Roku mobile app to easily control your Roku TV with everything you need to manage your streaming', 'Distance Between TV Feet: 41.8”']",3.9,340
"VIZIO D-Series 32"" Class 1080p Full-Array LED HD Smart TV - D32F-J04",VIZIO,$179.99,$219.99,"['1080p High-Definition - Watch TV in crisp, clear 1080p Full HD resolution.', 'Full Array LED Backlight - Evenly distributed LEDs across the screen’s backlight deliver superior light uniformity and picture performance.', 'SmartCast -  Instant access to the best selection of apps from top-tier streaming services like Netflix, Disney+, YouTube, HBO Max, discovery+ and many more right out of the box.', 'Apple AirPlay 2 and Chromecast Built-In - Stream, control, mirror and share your content from your Apple or Android devices directly to the TV.', ""What's Included - VIZIO Smart TV Remote with batteries, Quick Start Guide and User Manual."", '2 HDMI Ports - High-speed HDMI connectivity offers better video performance as well as Dolby Atmos and DTS:X passthrough for a more immersive audio experience.']",4.4,4040
"Samsung 65"" Smart 4K UHD TV (UN65AU8000) - Black",Samsung,$599.99,$799.99,"[""Dynamic Crystal Color - Witness true-to-life color that can't be found on HDTV, with millions of shades revealed through powerful Dynamic Crystal technology."", ""Crystal Processor 4K - See every detail with stunning clarity. The powerful processor, specifically tuned for Crystal Displays, converts what you're watching to 4K."", 'Smart TV with Multiple Voice Assistants - Access a world of content beyond streaming. Schedule recordings, search, auto-adjust game settings, seamlessly connect with a host of compatible devices across your home, and control your TV with your voice, all with one easy-to-use remote.', '3 HDMI Ports - Connect up to 3 devices with HDMI.', 'HDR - Enjoy a whole new world of vivid color and detail found in newer films and streaming service content with HDR, also known as High Dynamic Range.', ""Motion Xcelerator - Never miss a beat with minimized blur and enhanced motion clarity, and catch all the fast-moving action whether you're watching sports or taking advantage of newer gaming capabilities.""]",4.6,1796
"VIZIO D-Series 24"" Class 1080p Full-Array LED HD Smart TV - D24f-J09",VIZIO,$149.99,$169.99,"['1080p High-Definition - Watch TV in crisp, clear 1080p Full HD resolution.', 'Full Array LED Backlight - Evenly distributed LEDs across the screen’s backlight deliver superior light uniformity and picture performance.', 'SmartCast -  Instant access to the best selection of apps from top-tier streaming services like Netflix, Disney+, YouTube, HBO Max, discovery+ and many more right out of the box.', 'Apple AirPlay 2 and Chromecast Built-In - Stream, control, mirror and share your content from your Apple or Android devices directly to the TV.', ""What's Included - VIZIO Smart TV Remote with batteries, Quick Start Guide and User Manual."", '2 HDMI Ports - High-speed HDMI connectivity offers better video performance as well as Dolby Atmos and DTS:X passthrough for a more immersive audio experience.']",4.5,10255
"Element 24"" 720p HD LED TV - (ELEFT2416)",Element,$119.99,$139.99,"['720p Resolution', '60 Hz Refresh Rate', '1 HDMI Input, 1 USB Input', 'LED TV']",4.1,226
"TCL 43"" Class 4-Series 4K UHD HDR Smart Roku TV – 43S435",TCL,$259.99,$369.99,"['Stunning 4K Ultra HD – 4K resolution delivers stunning detail and a remarkable visual experience.', 'High Dynamic Range – HDR delivers bright and accurate colors for a lifelike viewing experience.', 'Thousands of streaming channels – Enjoy the over 500,000 movies and TV episodes available to stream plus sports, news, music, kids and family, food, science and tech, fitness, foreign language and so much more.', 'Easy Voice Control – Find movie titles, launch or change channels, even switch inputs, using just your voice. Access to voice control feature available through the Roku mobile app, compatible third-party voice assistant devices and voice-enabled remote controls that can be purchased separately. Works with Amazon Alexa and Google Assistant.', 'Simple, personalized home screen – Your favorite broadcast TV, streaming channels, gaming console and other devices are front-and-center. No more flipping through inputs or wading through complicated menus. Like apps on a smartphone, all your favorites are at your fingertips from the instant you turn it on.', 'Cord cutting made easy with smart features built-in – Cord cutters can access free, over-the-air HD content thanks to the Advanced digital TV Tuner with Live TV Channel Guide or watch live TV from popular cable-replacement services like YouTube TV, Sling, Hulu and more.']",4.2,739
